2017-10-21 11:33:47, Football, UKP Zielona Gora U19 / Salos Szczecin U19, Poland Championship U19, Handicap, 0.00, 2.62, 2.62, 1, babibet, 18, 244.93, 0, 35, BET_SUCCESS, 2
2017-10-21 11:34:10, Football, Randers U19 / Esbjerg fB U19, Denmark Championship U19, Over/Under, 3.50, 1.65, 2.04, 0, babibet, 49, 274.93, 0, 21, BET_SUCCESS, 2
2017-10-21 11:34:57, Football, Randers U19 / Esbjerg fB U19, Denmark Championship U19, Over/Under, 3.50, 2.04, 2.24, 1, 1xbetchina, 45, 248.90, 0, 68, BET_SUCCESS, 4
2017-10-21 11:42:32, Tennis, Nikoloz Basilashvili / Serhiy Stakhovsky, ATP. Vienna. Qualification, Handicap, 5.50, 1.70, 1.70, 0, 1xbetchina, 45, 203.90, 0, 18, BET_SUCCESS, 2
2017-10-21 11:42:53, Tennis, Nikoloz Basilashvili / Serhiy Stakhovsky, ATP. Vienna. Qualification, Handicap, 5.50, 1.55, 1.73, 1, babibet, 46, 274.93, 0, 34, BET_VALUE_DECREASED1, 2
2017-10-21 11:58:52, Tennis, Grigor Dimitrov / Fabio Fognini, ATP. Stockholm, Handicap, -5.50, 1.81, 1.94, 1, 1xbetchina, 50, 698.95, 0, 37, BET_UNABLE, 2
2017-10-21 11:58:52, Tennis, Grigor Dimitrov / Fabio Fognini, ATP. Stockholm, Handicap, -5.50, 1.72, 1.94, 0, babibet, 40, 432.13, 0, 37, BET_VALUE_DECREASED1, 2
2017-10-21 12:07:41, Tennis, Mikhail Kukushkin / Adrian Bodmer, ATP. Basel. Qualification, Handicap, -6.50, 2.10, 2.10, 1, babibet, 49, 472.13, 0, 13, BET_ODDS_NOT_AVAILABLE, 2
2017-10-21 12:07:56, Tennis, Mikhail Kukushkin / Adrian Bodmer, ATP. Basel. Qualification, Handicap, -6.50, 2.28, 1.66, 0, 1xbetchina, 45, 608.95, 0, 34, BET_SUCCESS, 2
2017-10-21 12:08:40, Tennis, Grigor Dimitrov / Fabio Fognini, ATP. Stockholm, Handicap, -5.50, 2.37, 2.47, 0, 1xbetchina, 40, 568.95, 0, 35, BET_SUCCESS, 2
2017-10-21 12:09:03, Tennis, Grigor Dimitrov / Fabio Fognini, ATP. Stockholm, Handicap, -5.50, 1.53, 1.53, 1, babibet, 52, 472.13, 0, 58, BET_ODDS_NOT_AVAILABLE, 2
2017-10-21 12:16:26, Football, Tosno / Rostov, Russia. Premier League, Handicap, 0.00, 0.00, 2.18, 0, babibet, 48, 472.13, 0, 39, BET_VALUE_CHANGED, 4
2017-10-21 12:16:40, Football, Tosno / Rostov, Russia. Premier League, Handicap, 0.00, 2.26, 1.75, 1, 1xbetchina, 45, 523.95, 0, 55, BET_BLOCKED, 4
2017-10-21 12:19:21, Tennis, Ruben Bemelmans / Jo-Wilfried Tsonga, ATP. Antwerp, Handicap, 5.50, 1.62, 1.62, 0, 1xbetchina, 52, 471.95, 0, 24, BET_SUCCESS, 2
2017-10-21 12:19:53, Tennis, Ruben Bemelmans / Jo-Wilfried Tsonga, ATP. Antwerp, Handicap, 5.50, 1.64, 1.91, 1, babibet, 45, 472.13, 0, 48, BET_VALUE_DECREASED1, 2
2017-10-21 12:39:06, Tennis, Thomas Fabbiano / Andreas Haider-Maurer, ATP. Vienna. Qualification, Handicap, -6.50, 2.31, 2.45, 0, 1xbetchina, 40, 391.95, 0, 33, BET_SUCCESS, 2
2017-10-21 12:39:45, Tennis, Thomas Fabbiano / Andreas Haider-Maurer, ATP. Vienna. Qualification, Handicap, -6.50, 1.33, 1.41, 1, babibet, 51, 517.13, 0, 65, BET_VALUE_DECREASED1, 2
2017-10-21 12:47:53, Tennis, Thomas Fabbiano / Andreas Haider-Maurer, ATP. Vienna. Qualification, Handicap, -6.50, 2.75, 2.90, 1, babibet, 49, 468.13, 0, 46, BET_VALUE_DECREASED1, 4
2017-10-21 12:48:14, Tennis, Thomas Fabbiano / Andreas Haider-Maurer, ATP. Vienna. Qualification, Handicap, -6.50, 2.75, 2.75, 1, babibet, 33, 468.13, 0, 16, BET_ODDS_NOT_AVAILABLE, 2
2017-10-21 12:48:33, Tennis, Ruben Bemelmans / Jo-Wilfried Tsonga, ATP. Antwerp, Handicap, 5.50, 2.69, 2.69, 1, babibet, 31, 437.13, 0, 18, BET_SUCCESS, 2
2017-10-21 12:56:15, Football, Tianjin Songjiang / Hebei China Fortune, China. Super League, Handicap, -0.00, 2.22, 1.71, 0, bet888vip, 45, 564.59, 0, 16, BET_SUCCESS, 2
