2017-10-19 12:11:55, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 1.75, 1.75, 1, babibet, 54, 345.61, 0, 3, BET_SUCCESS, 0
2017-10-19 12:12:05, Tennis, Diego Sebastian Schwartzman / Ernesto Escobedo, ATP. Antwerp, Handicap, -5.50, 1.71, 1.95, 1, babibet, 50, 345.61, 0, 5, BET_ODD_REMOVED, 1
2017-10-19 12:12:10, Tennis, Diego Sebastian Schwartzman / Ernesto Escobedo, ATP. Antwerp, Handicap, -5.50, 2.19, 2.19, 0, 1xbetchina, 45, 605.34, 0, 10, BET_SUCCESS, 0
2017-10-19 12:13:09, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Over/Under, 17.50, 2.31, 2.41, 0, 1xbetchina, 40, 605.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:13:14, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Over/Under, 17.50, 1.74, 1.74, 1, 18bet, 55, 250.35, 0, 5, BET_SUCCESS, 0
2017-10-19 12:13:19, Tennis, Diego Sebastian Schwartzman / Ernesto Escobedo, ATP. Antwerp, Handicap, -5.50, 1.90, 1.90, 1, babibet, 51, 294.61, 0, 4, BET_SUCCESS, 0
2017-10-19 12:15:44, Tennis, Aziz Dougaz / Alexandre Muller, ITF. Tunis. F31, Handicap, 4.50, 1.61, 1.80, 0, babibet, 58, 294.61, 0, 6, BET_VALUE_DECREASED1, 2
2017-10-19 12:15:46, Tennis, Aziz Dougaz / Alexandre Muller, ITF. Tunis. F31, Handicap, 4.50, 2.32, 2.32, 1, 1xbetchina, 45, 605.34, 0, 8, BET_UNABLE, 2
2017-10-19 12:15:52, Tennis, Aziz Dougaz / Alexandre Muller, ITF. Tunis. F31, Handicap, 4.50, 1.61, 1.80, 0, babibet, 58, 294.61, 0, 4, BET_VALUE_DECREASED, 1
2017-10-19 12:16:00, Tennis, Aziz Dougaz / Alexandre Muller, ITF. Tunis. F31, Handicap, 4.50, 2.32, 2.32, 1, 1xbetchina, 45, 605.34, 0, 12, BET_UNABLE, 2
2017-10-19 12:16:09, Football, Italy U19 (W) / Faroe Islands U19 (W), UEFA European U19 Championship. Women, Over/Under, 11.00, 2.01, 2.01, 0, babibet, 48, 246.61, 0, 3, BET_SUCCESS, 0
2017-10-19 12:16:12, Football, Italy U19 (W) / Faroe Islands U19 (W), UEFA European U19 Championship. Women, Over/Under, 11.00, 2.16, 2.16, 1, 1xbetchina, 45, 560.34, 0, 6, BET_SUCCESS, 0
2017-10-19 12:16:42, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Handicap, -2.50, 1.80, 1.97, 1, babibet, 53, 246.61, 0, 1, BET_VALUE_DECREASED, 0
2017-10-19 12:16:52, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Handicap, -2.50, 2.09, 2.09, 0, 1xbetchina, 50, 510.34, 0, 10, BET_SUCCESS, 0
2017-10-19 12:17:00, Tennis, Riccardo Bonadio / Thiago Seyboth Wild, ITF. Turkey. F39, Handicap, 2.50, 1.44, 1.44, 1, babibet, 73, 173.61, 0, 3, BET_SUCCESS, 0
2017-10-19 12:17:08, Tennis, Riccardo Bonadio / Thiago Seyboth Wild, ITF. Turkey. F39, Handicap, 2.50, 3.54, 3.54, 0, 1xbetchina, 30, 480.34, 0, 10, BET_SUCCESS, 0
2017-10-19 12:17:12, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Handicap, -2.50, 1.97, 1.97, 1, 18bet, 53, 252.35, 0, 3, BET_SUCCESS, 0
2017-10-19 12:17:32, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.34, 2.34, 1, babibet, 42, 204.61, 0, 3, BET_SUCCESS, 0
2017-10-19 12:17:36, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 40, 480.34, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:17:40, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 39, 480.34, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:17:46, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 39, 480.34, 0, 5, BET_VALUE_DECREASED1, 2
