2017-10-21 16:19:23, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Over/Under, 18.50, 1.90, 1.90, 1, babibet, 40, 524.57, 0, 166, BET_PARSE_FAIL, 2
2017-10-21 16:20:06, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Over/Under, 17.50, 1.85, 2.36, 1, babibet, 40, 524.57, 0, 35, BET_PARSE_FAIL, 2
2017-10-21 16:20:28, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Over/Under, 17.50, 1.96, 1.96, 0, 1xbetchina, 48, 1168.63, 0, 64, BET_VALUE_CHANGED, 4
2017-10-21 16:25:58, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Handicap, 7.50, 1.58, 1.58, 0, 1xbetchina, 57, 1168.63, 0, 47, BET_VALUE_CHANGED, 4
2017-10-21 16:26:06, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Handicap, 7.50, 2.40, 2.40, 1, babibet, 30, 524.57, 0, 55, BET_PARSE_FAIL, 2
2017-10-21 16:33:42, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Handicap, 6.50, 2.00, 2.00, 0, 1xbetchina, 45, 1078.63, 0, 48, BET_SUCCESS, 2
2017-10-21 16:33:50, Tennis, Guilherme Clezar (BRA) / Federico Delbonis (ARG), ATP Challenger - Cali-2, Handicap, 6.50, 1.78, 1.61, 1, babibet, 50, 524.57, 0, 48, BET_PARSE_FAIL, 2
2017-10-21 16:56:36, Football, Hamburger / Bayern Munich, Germany. Bundesliga, Over/Under, 3.00, 1.71, 1.71, 0, 1xbetchina, 45, 1033.63, 0, 19, BET_SUCCESS, 2
2017-10-21 16:56:42, Football, Hamburger / Bayern Munich, Germany. Bundesliga, Over/Under, 3.00, 2.07, 2.07, 1, babibet, 49, 524.57, 0, 23, BET_PARSE_FAIL, 2
2017-10-21 16:58:50, Football, Millwall / Birmingham City, England. Championship, Over/Under, 1.50, 1.68, 1.93, 0, babibet, 49, 524.57, 0, 39, BET_PARSE_FAIL, 2
2017-10-21 16:59:06, Football, Millwall / Birmingham City, England. Championship, Over/Under, 1.50, 1.96, 1.98, 1, 1xbetchina, 40, 873.63, 0, 57, BET_SUCCESS, 4
2017-10-21 17:03:50, Football, Yeni Malatyaspor / Trabzonspor, Turkey. SuperLiga, Handicap, 0.00, 1.56, 2.50, 0, babibet, 40, 524.57, 0, 29, BET_PARSE_FAIL, 2
2017-10-21 17:03:51, Football, Yeni Malatyaspor / Trabzonspor, Turkey. SuperLiga, Handicap, 0.00, 1.55, 1.55, 1, 1xbetchina, 40, 793.63, 0, 31, BET_SUCCESS, 2
2017-10-21 17:04:21, Football, Zurich / Grasshopper Club Zurich, Switzerland. SuperLeague, Over/Under, 2.50, 2.02, 1.72, 1, babibet, 49, 524.57, 0, 17, BET_PARSE_FAIL, 2
2017-10-21 17:05:44, Football, Zurich / Grasshopper Club Zurich, Switzerland. SuperLeague, Over/Under, 2.50, 1.74, 1.68, 0, 1xbetchina, 45, 703.63, 0, 106, BET_SUCCESS, 4
2017-10-21 17:06:10, Football, Millwall / Birmingham City, England. Championship, Over/Under, 1.50, 2.14, 2.14, 0, bet888vip, 36, 428.27, 0, 18, BET_SUCCESS, 2
2017-10-21 17:32:52, Football, Sampdoria / Crotone, Italy. Serie A, Over/Under, 4.50, 2.04, 2.04, 0, bet888vip, 49, 330.27, 0, 20, BET_SUCCESS, 2
2017-10-21 17:33:56, Football, Sampdoria / Crotone, Italy. Serie A, Over/Under, 4.50, 1.99, 2.05, 1, 1xbetchina, 45, 613.63, 0, 86, BET_SUCCESS, 4
2017-10-21 17:47:34, Football, Shabab Al Ordon / Al Ramtha, Jordan Pro League, Handicap, -0.00, 2.08, 2.08, 0, bet888vip, 45, 240.27, 0, 14, BET_SUCCESS, 2
