2017-10-21 19:48:35, Football, K. Sint-Truidense / Oostende, Belgium. Jupiler League, Over/Under, 0.50, 5.25, 5.25, 1, 1xbetchina, 16, 683.21, 0, 16, BET_UNABLE, 2
2017-10-21 19:54:47, Football, Lechia Gdansk / Lech Poznan, Poland. Ekstraklasa, Handicap, 0.00, 4.66, 4.66, 1, 1xbetchina, 11, 868.56, 0, 41, BET_SUCCESS, 3
2017-10-21 20:00:54, Football, Kortrijk / Gent, Belgium. Jupiler League, Handicap, 0.00, 1.35, 1.23, 1, babibet, 67, 547.67, 0, 41, BET_SUCCESS, 0
2017-10-21 20:01:17, Football, Kortrijk / Gent, Belgium. Jupiler League, Handicap, 0.00, 0.00, 4.68, 0, 1xbetchina, 20, 948.91, 0, 64, BET_SUCCESS, 1
2017-10-21 20:05:48, Football, Sevilla II / Real Zaragoza, Spain. Segunda Division, Handicap, 0.00, 1.65, 1.65, 1, babibet, 60, 487.67, 0, 9, BET_SUCCESS, 0
2017-10-21 20:05:54, Football, Sevilla II / Real Zaragoza, Spain. Segunda Division, Handicap, 0.00, 2.35, 3.30, 0, 1xbetchina, 30, 918.91, 0, 15, BET_SUCCESS, 0
2017-10-21 20:07:03, Football, Matera Calcio / Lecce, Italy. Lega Pro C, Over/Under, 1.50, 2.32, 2.30, 0, babibet, 45, 442.67, 0, 7, BET_SUCCESS, 0
2017-10-21 20:07:45, Football, Matera Calcio / Lecce, Italy. Lega Pro C, Over/Under, 1.50, 1.67, 2.08, 1, 1xbetchina, 50, 918.91, 0, 48, BET_VALUE_CHANGED, 4
2017-10-21 20:21:58, Football, CR Vasco da Gama / Coritiba, Brazil. Campeonato Brasileiro, Over/Under, 1.50, 1.64, 1.87, 0, bet888vip, 51, 553.70, 0, 32, BET_SUCCESS, 0
2017-10-21 20:22:28, Football, CR Vasco da Gama / Coritiba, Brazil. Campeonato Brasileiro, Over/Under, 1.50, 2.27, 2.37, 1, 1xbetchina, 40, 928.91, 0, 64, BET_SUCCESS, 2
2017-10-21 20:27:24, Football, SSC Napoli / Inter Milan, Italy Serie A, Over/Under, 0.50, 2.18, 2.18, 0, babibet, 35, 502.67, 0, 0, BET_SUCCESS, 0
2017-10-21 20:28:05, Football, SSC Napoli / Inter Milan, Italy Serie A, Over/Under, 0.50, 1.67, 1.76, 1, 1xbetchina, 53, 875.91, 0, 41, BET_SUCCESS, 1
2017-10-21 20:34:23, Tennis, Tennys Sandgren / Stefan Kozlov, Challenger. Las Vegas, Handicap, 4.50, 1.67, 1.70, 0, babibet, 45, 502.67, 0, 15, BET_VALUE_DECREASED1, 2
2017-10-21 20:34:33, Tennis, Tennys Sandgren / Stefan Kozlov, Challenger. Las Vegas, Handicap, 4.50, 2.15, 1.62, 1, 1xbetchina, 47, 886.91, 0, 25, BET_UNABLE, 2
2017-10-21 20:39:46, Football, Lala / Margarita, Venezuela. Segunda División, Over/Under, 2.50, 2.17, 1.75, 0, babibet, 45, 457.67, 0, 2, BET_SUCCESS, 0
2017-10-21 20:40:26, Football, Lala / Margarita, Venezuela. Segunda División, Over/Under, 2.50, 1.65, 1.65, 1, 1xbetchina, 46, 886.91, 0, 42, BET_VALUE_CHANGED, 4
2017-10-21 20:42:04, Football, Lala / Margarita, Venezuela. Segunda División, Over/Under, 2.50, 2.23, 2.23, 1, 1xbetchina, 44, 886.91, 0, 27, BET_VALUE_CHANGED, 4
2017-10-21 20:42:34, Football, Lala / Margarita, Venezuela. Segunda División, Over/Under, 2.50, 1.57, 1.57, 1, 1xbetchina, 43, 886.91, 0, 28, BET_VALUE_CHANGED, 4
2017-10-21 20:43:37, Tennis, Tennys Sandgren / Stefan Kozlov, Challenger. Las Vegas, Handicap, 4.50, 1.89, 1.65, 0, babibet, 46, 411.67, 0, 7, BET_SUCCESS, 0
2017-10-21 20:43:56, Tennis, Tennys Sandgren / Stefan Kozlov, Challenger. Las Vegas, Handicap, 4.50, 2.24, 2.24, 1, 1xbetchina, 45, 975.42, 0, 24, BET_UNABLE, 2
