2017-10-23 08:30:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:30:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:33, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:32:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 79, BET_VALUE_DECREASED, 0
2017-10-23 08:32:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:32:08, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:32:09, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:32:58, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 47, BET_VALUE_DECREASED, 0
2017-10-23 08:32:58, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:33:16, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:33:20, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:33:33, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.10, 1, 1xbetchina, 47, 565.37, 0, 16, BET_VALUE_DECREASED, 0
2017-10-23 08:33:33, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.21, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:33:46, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.10, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:33:49, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.21, 2.21, 0, babibet, 45, 671.34, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:33:58, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.10, 1, 1xbetchina, 47, 565.37, 0, 10, BET_VALUE_DECREASED, 0
2017-10-23 08:33:59, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.21, 2.21, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:01, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.07, 1, 1xbetchina, 48, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:34:01, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.21, 2.21, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
