2017-10-23 08:25:43, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:25:45, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:25:45, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:25:47, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:25:48, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 19, BET_VALUE_DECREASED, 0
2017-10-23 08:26:08, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:09, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:26:09, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:10, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:10, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:11, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:26:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:14, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:14, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:16, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:26:16, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
