2017-10-23 08:35:03, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.22, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:04, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.03, 1, 1xbetchina, 49, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:05, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.22, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:06, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.03, 1, 1xbetchina, 49, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.78, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.03, 1, 1xbetchina, 49, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.22, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:10, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.03, 1, 1xbetchina, 49, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:35:10, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.02, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:13, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.80, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:13, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:13, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:15, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:15, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.80, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:17, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:19, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:22, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
