2017-10-23 08:26:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:21, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:21, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:24, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:26:24, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:24, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:26:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:26:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:26:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:27:16, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 43, BET_VALUE_DECREASED, 0
2017-10-23 08:27:17, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:27:47, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 50, 565.37, 0, 30, BET_VALUE_DECREASED, 0
2017-10-23 08:27:47, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
