2017-10-23 07:47:49, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 0, Unknown, 0
2017-10-23 07:47:49, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.77, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:50, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.55, 2.05, 0, 1xbetchina, 47, 565.37, 0, 0, Unknown, 0
2017-10-23 07:47:50, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.41, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 1, Unknown, 0
2017-10-23 07:47:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.77, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 0, Unknown, 0
2017-10-23 07:47:53, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.41, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:55, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 1, Unknown, 0
2017-10-23 07:47:56, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.77, 2.41, 1, babibet, 40, 671.34, 0, 1, Unknown, 0
2017-10-23 07:47:57, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.55, 2.05, 0, 1xbetchina, 47, 565.37, 0, 0, Unknown, 0
2017-10-23 07:47:57, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.41, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:58, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 1, Unknown, 0
2017-10-23 07:47:59, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.41, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:48:01, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 1, Unknown, 0
2017-10-23 07:48:01, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.55, 2.05, 0, 1xbetchina, 47, 565.37, 0, 0, Unknown, 0
2017-10-23 07:48:01, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.77, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:48:02, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.41, 2.41, 1, babibet, 40, 671.34, 0, 0, Unknown, 0
2017-10-23 07:48:04, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.05, 2.05, 0, 1xbetchina, 47, 565.37, 0, 2, Unknown, 0
2017-10-23 07:49:31, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.74, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:37, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.68, 2.68, 0, 1xbetchina, 35, 565.37, 0, 1, Unknown, 0
