2017-10-24 16:09:01, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.81, 1.81, 0, 1xbetchina, 57, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:02, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.81, 1.81, 0, 1xbetchina, 57, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:03, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.11, 2.99, 1, babibet, 35, 671.34, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:09:10, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.25, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:11, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:11, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:12, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.75, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:13, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.25, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:14, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:15, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.75, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:17, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:09:18, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:18, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.75, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:20, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.25, 1.75, 0, babibet, 62, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:20, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 2.10, 4.38, 1, 1xbetchina, 25, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:09:23, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 4.38, 4.38, 1, 1xbetchina, 25, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:09:25, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 14.50, 1.75, 1.75, 0, babibet, 62, 671.34, 0, 2, BET_VALUE_DECREASED, 0
2017-10-24 16:09:26, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 3.80, 3.80, 0, 1xbetchina, 25, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:09:34, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.27, 1.46, 1, babibet, 65, 671.34, 0, 8, BET_VALUE_DECREASED, 0
2017-10-24 16:09:36, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 2.79, 3.80, 0, 1xbetchina, 25, 565.37, 0, 1, BET_ODD_REMOVED, 0
2017-10-24 16:09:36, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.46, 1.46, 1, babibet, 65, 671.34, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:11:46, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 15.50, 5.95, 5.95, 0, 1xbetchina, 15, 565.37, 0, 59, BET_VALUE_DECREASED, 0
2017-10-24 16:13:07, Tennis, Garbine Muguruza / Karolina Pliskova, WTA - TEB BNP Paribas Championships, Over/Under, 15.50, 1.16, 1.42, 1, babibet, 62, 671.34, 0, 130, BET_VALUE_DECREASED, 2
