2017-10-23 07:49:38, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.74, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:40, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.68, 2.68, 0, 1xbetchina, 35, 565.37, 0, 2, Unknown, 0
2017-10-23 07:49:41, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:41, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.05, 2.68, 0, 1xbetchina, 35, 565.37, 0, 0, Unknown, 0
2017-10-23 07:49:42, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.74, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.68, 2.68, 0, 1xbetchina, 35, 565.37, 0, 9, Unknown, 0
2017-10-23 07:49:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:52, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.68, 2.68, 0, 1xbetchina, 35, 565.37, 0, 0, Unknown, 0
2017-10-23 07:49:53, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:54, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.05, 2.68, 0, 1xbetchina, 35, 565.37, 0, 0, Unknown, 0
2017-10-23 07:49:55, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.74, 1.74, 1, babibet, 53, 671.34, 0, 0, Unknown, 0
2017-10-23 07:49:56, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.68, 2.68, 0, 1xbetchina, 35, 565.37, 0, 1, Unknown, 0
