2017-10-23 08:29:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:29:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:34, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:35, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:36, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:29:36, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:40, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:29:41, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:29:42, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:29:42, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.20, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 45, BET_VALUE_DECREASED, 0
2017-10-23 08:30:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.65, 2.09, 1, 1xbetchina, 47, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:30:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.20, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
