2017-10-23 08:23:03, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:04, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:04, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.75, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:05, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:05, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:23:07, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.75, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:08, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:09, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:23:12, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:15, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:23:15, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:17, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:23:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, bet888vip, 45, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:23:19, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.68, 2.07, 1, 1xbetchina, 46, 565.37, 0, 0, BET_VALUE_DECREASED, 0
