2017-10-23 07:40:52, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:40:53, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.69, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:40:53, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:40:53, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:40:53, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:40:55, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.68, 2.07, 0, babibet, 47, 671.34, 0, 1, Unknown, 0
2017-10-23 07:40:55, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:40:56, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.68, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:40:56, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:40:56, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:40:57, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:40:58, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.68, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:40:59, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:41:00, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:41:00, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.68, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:41:02, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 1, Unknown, 0
2017-10-23 07:41:02, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:41:05, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 1, Unknown, 0
2017-10-23 07:41:06, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.19, 1, 1xbetchina, 45, 565.37, 0, 2, Unknown, 0
