2017-10-14 16:30:21, Football, CD Cova Piedade / Anadia, Portugal Cup, Handicap, -0.00, 1.92, 1.92, 0, 18bet, 53, 541.54, 0, 17, BET_SUCCESS, 0
2017-10-14 16:31:36, Football, Borussia Dortmund / RasenBallsport Leipzig, Germany. Bundesliga, Over/Under, 3.50, 2.05, 2.05, 1, babibet, 48, 733.70, 0, 5, BET_SUCCESS, 0
2017-10-14 16:31:45, Football, Borussia Dortmund / RasenBallsport Leipzig, Germany. Bundesliga, Over/Under, 3.50, 1.75, 2.19, 0, 18bet, 45, 541.54, 0, 7, BET_VALUE_DECREASED, 0
2017-10-14 16:31:53, Football, Borussia Dortmund / RasenBallsport Leipzig, Germany. Bundesliga, Over/Under, 3.50, 1.75, 1.75, 0, 18bet, 56, 485.54, 0, 7, BET_SUCCESS, 0
2017-10-14 16:34:37, Tennis, Kaia Kanepi / Olga Ianchuk, WTA. Moscow. Qualification, Over/Under, 15.50, 4.65, 4.65, 0, 18bet, 21, 464.54, 0, 7, BET_SUCCESS, 0
2017-10-14 16:34:37, Tennis, Kaia Kanepi / Olga Ianchuk, WTA. Moscow. Qualification, Over/Under, 15.50, 6.60, 6.60, 1, 1xbetchina, 15, 1231.05, 0, 7, BET_ODD_REMOVED, 1
2017-10-14 16:34:47, Football, Atromitos Athens / Asteras Tripolis, Greece Super League, Handicap, -0.50, 2.13, 2.13, 0, babibet, 50, 733.70, 0, 3, BET_ODD_REMOVED, 0
2017-10-14 16:34:47, Football, Atromitos Athens / Asteras Tripolis, Greece Super League, Handicap, -0.50, 2.14, 2.14, 1, bet888vip, 50, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:36:54, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 2.24, 2.24, 1, 1xbetchina, 45, 1186.05, 0, 5, BET_SUCCESS, 0
2017-10-14 16:36:59, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 1.99, 1.99, 0, babibet, 50, 733.70, 0, 4, BET_ODD_REMOVED, 0
2017-10-14 16:37:04, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 1.99, 1.99, 0, bet888vip, 50, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:37:11, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 1.99, 1.99, 0, bet888vip, 50, 233.50, 0, 6, BET_FAIL, 2
2017-10-14 16:37:17, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 1.99, 1.99, 0, bet888vip, 50, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:37:24, Football, Juventus / Lazio, Italy. Serie A, Over/Under, 2.50, 1.99, 1.99, 0, bet888vip, 50, 183.50, 0, 5, BET_SUCCESS, 1
2017-10-14 16:39:33, Tennis, Sebastian Korda / Lucas Miedler, ITF USA, Over/Under, 16.50, 2.37, 2.37, 1, 18bet, 40, 485.54, 0, 5, BET_ODD_REMOVED, 1
2017-10-14 16:39:39, Tennis, Sebastian Korda / Lucas Miedler, ITF USA, Over/Under, 16.50, 2.05, 2.05, 0, 1xbetchina, 46, 1140.05, 0, 11, BET_SUCCESS, 0
2017-10-14 16:40:20, Tennis, Sebastian Korda / Lucas Miedler, ITF USA, Over/Under, 16.50, 2.37, 2.37, 1, 18bet, 39, 446.54, 0, 9, BET_SUCCESS, 0
2017-10-14 16:40:42, Football, Maccabi Petah Tikva / Maccabi Haifa, Israel Premier League, Handicap, -0.00, 4.13, 4.13, 0, 18bet, 26, 420.54, 0, 6, BET_SUCCESS, 0
2017-10-14 16:57:11, Football, Konyaspor / Galatasaray, Turkey. SuperLiga, Over/Under, 2.00, 1.94, 1.94, 0, 1xbetchina, 49, 1186.05, 0, 120, BET_TIMEOUT, 2
2017-10-14 16:59:30, Football, Konyaspor / Galatasaray, Turkey. SuperLiga, Over/Under, 2.00, 2.41, 2.41, 1, babibet, 40, 733.70, 0, 230, BET_GET_ODD_FAIL, 2
